time,device_id,co2,humidity,pm25,pressure,temperature,rssi,snr,SF,frequency,f_count,p_count,toa,distance,tx_p,tx_cl,tx_ag,rx_ag,exp_pl
2024-09-05 13:56:15.943780+02:00,pilotdevice02,,70.57,14.51,321.06,25.29,-49.0,12.2,10.0,868.1,12.0,13.0,0.411648,0.05,14,1,0.4,3,65.4
2024-09-05 13:56:18.984401+02:00,pilotdevice,432.0,57.7,15.09,320.04,25.72,-57.0,8.5,7.0,867.1,873.0,955.0,0.071936,0.07,14,1,0.4,3,73.4
2024-09-05 13:56:40.652523+02:00,pilotdevice01,,65.66,16.83,320.97,26.55,-36.0,11.8,10.0,868.1,11.0,13.0,0.411648,0.02,14,1,0.4,3,52.4
2024-09-05 13:57:15.988498+02:00,pilotdevice02,,70.5,14.76,321.02,25.28,-48.0,11.5,10.0,867.7,13.0,14.0,0.411648,0.05,14,1,0.4,3,64.4
2024-09-05 13:57:19.036251+02:00,pilotdevice,432.0,57.65,15.69,320.01,25.71,-55.0,8.0,7.0,868.5,874.0,956.0,0.071936,0.07,14,1,0.4,3,71.4
2024-09-05 13:57:40.684317+02:00,pilotdevice01,,65.44,15.88,320.9,26.58,-37.0,8.2,10.0,867.5,12.0,14.0,0.411648,0.02,14,1,0.4,3,53.4
2024-09-05 13:58:15.740368+02:00,pilotdevice02,,70.56,13.4,321.1,25.28,-45.0,11.5,9.0,867.3,14.0,15.0,0.226304,0.05,14,1,0.4,3,61.4
2024-09-05 13:58:19.087884+02:00,pilotdevice,440.0,57.69,15.36,320.04,25.65,-58.0,10.2,7.0,868.1,875.0,957.0,0.071936,0.07,14,1,0.4,3,74.4
2024-09-05 13:58:40.538742+02:00,pilotdevice01,,65.26,16.62,320.98,26.59,-42.0,12.0,9.0,867.3,13.0,15.0,0.226304,0.02,14,1,0.4,3,58.4
2024-09-05 13:59:15.694995+02:00,pilotdevice02,,70.47,15.3,321.08,25.28,-48.0,8.8,9.0,868.5,15.0,16.0,0.226304,0.05,14,1,0.4,3,64.4
2024-09-05 13:59:19.152401+02:00,pilotdevice,444.0,57.73,16.27,320.11,25.67,-57.0,7.5,7.0,867.5,876.0,958.0,0.071936,0.07,14,1,0.4,3,73.4
2024-09-05 13:59:40.573979+02:00,pilotdevice01,,65.14,17.52,320.96,26.61,-42.0,8.8,9.0,868.5,14.0,16.0,0.226304,0.02,14,1,0.4,3,58.4
2024-09-05 14:00:15.675013+02:00,pilotdevice02,,70.47,16.0,321.06,25.31,-50.0,12.8,9.0,868.3,16.0,17.0,0.226304,0.05,14,1,0.4,3,66.4
